Name,MinimumSalary,MaximumSalary
"Patent Attorney",180000,300000
"Litigation Counsel",180000,210000
"Compliance Counsel",120000,200000
"General Counsel",250000,300000
"Compliance Analyst",60000,80000
"Data Privacy Officer",120000,200000
"Internal Auditor",70000,120000
"Compliance Manager",90000,120000
"Compliance Risk Manager",120000,160000
"Director of Compliance",160000,210000
"Chief Compliance Officer",200000,350000
"Chief Legal Officer",250000,500000
"Revenue Operations Analyst",70000,90000
"Revenue Operations Manager",100000,140000
"Director of Revenue Operations",140000,200000
"VP of Revenue Operations",200000,350000
"BI Analyst",60000,90000
"BI Developer",90000,120000
"BI Architect",120000,160000
"BI Manager",120000,180000
"Director of BI",160000,210000
"Process Improvement Analyst",60000,90000
"Process Improvement Specialist",90000,120000
"Process Improvement Manager",120000,150000
"Continuous Improvement Lead",100000,150000
"Director of Process Improvement",150000,200000
"Chief Operating Officer",250000,300000
"Sourcing Specialist",60000,90000
"Talent Acquisition Specialist",60000,90000
"Talent Acquisition Manager",120000,150000
"Director of Talent Acquistion",160000,210000
"Head of People",200000,350000
"HR Generalist",60000,90000
"HR Manager",90000,120000
"HR Business Partner",120000,150000
"Director of HR",150000,200000
"Chief Human Resources Officer",200000,350000
"Compensation & Benefits Manager",100000,140000
"Employee Experience Manager",80000,120000
"Learning & Development Manager",90000,120000
"IT Procurement Specialist",60000,90000
"Database Administrator",80000,120000
"Business Continuity Manager",90000,140000
"Chief Information Officer",150000,250000
"Chief Strategist Officer",180000,250000
"Chief Innovation Officer",150000,400000
"Chief Executive Officer",200000,400000
